name,country,qs_rank,ti_rank,sh_rank,lon,lat,rank,iso2,region,continent,invRank,intRank,rankGroup
Moscow State University,Russian Federation,95,194,93,37.5286696,55.7039349,127.33333333333333,RU,Eastern Europe,Europe,0.007853403141361256,127,100-200
KAIST,Republic of Korea,41,95,250.5,127.3640249,36.3693921,128.83333333333334,KR,East Asia,Asia,0.0077619663648124185,129,100-200
University of Göttingen,Germany,181,113,95,9.9374005,51.5408116,129.66666666666666,DE,Western Europe,Europe,0.007712082262210798,130,100-200
Zhejiang University,China,87,177,125.5,120.123279,30.263944,129.83333333333334,CN,East Asia,Asia,0.007702182284980744,130,100-200
University of Bern,Switzerland,167,105,125.5,7.438119,46.9504896,132.5,CH,Western Europe,Europe,0.007547169811320755,132,100-200
Cardiff University,UK,137,162,99,-3.1788641,51.4866271,132.66666666666666,GB,Northern Europe,Europe,0.007537688442211056,133,100-200
Stockholm University,Sweden,195,134,74,18.060776,59.363154,134.33333333333334,SE,Northern Europe,Europe,0.007444168734491314,134,100-200
Hebrew University of Jerusalem,Israel,145,-,125.5,35.2414009,31.7945578,135.25,IL,Middle East,Asia,0.0073937153419593345,135,100-200
Université catholique de Louvain,Belgium,153,129,125.5,4.6155909,50.6696875,135.83333333333334,BE,Western Europe,Europe,0.007361963190184048,136,100-200
University of Florida,USA,178,143,88,-82.3549302,29.6436325,136.33333333333334,US,North America,Americas,0.007334963325183373,136,100-200
Université de Montréal,Canada,130,108,175.5,-73.6137592,45.5056156,137.83333333333334,CA,North America,Americas,0.007255139056831922,138,100-200
City University of Hong Kong,Hong Kong,49,119,250.5,114.172793,22.3371397,139.5,HK,East Asia,Asia,0.007168458781362007,140,100-200
"Queen Mary, University of London",UK,127,121,175.5,-0.0403745,51.5240671,141.16666666666666,GB,Northern Europe,Europe,0.0070838252656434475,141,100-200
University of Durham,UK,78,97,250.5,-1.5782029,54.7649859,141.83333333333334,GB,Northern Europe,Europe,0.007050528789659224,142,100-200
University of Tübingen,Germany,164,94,175.5,9.043774,48.5294782,144.5,DE,Western Europe,Europe,0.006920415224913495,144,100-200
Technical University of Denmark,Denmark,116,153,175.5,12.521381,55.7855742,148.16666666666666,DK,Northern Europe,Europe,0.006749156355455569,148,100-200
University of São Paulo,Brazil,121,-,175.5,-46.6490459,-23.5916604,148.25,BR,South America,Americas,0.006745362563237774,148,100-200
Hokkaido University,Japan,122,-,175.5,141.340013,43.0779575,148.75,JP,East Asia,Asia,0.0067226890756302525,149,100-200
National Taiwan University,"Taiwan, Province of China",76,198,175.5,121.5397518,25.0173405,149.83333333333334,TW,East Asia,Asia,0.006674082313681868,150,100-200
Radboud University Nijmegen,Netherlands,204,122,125.5,5.8568877,51.8193148,150.5,NL,Western Europe,Europe,0.006644518272425249,150,100-200
University of Virginia,USA,173,113,175.5,-78.5079772,38.0335529,153.83333333333334,US,North America,Americas,0.006500541711809317,154,100-200
University of Exeter,UK,158,130,175.5,-3.5351475,50.7371369,154.5,GB,Northern Europe,Europe,0.006472491909385114,154,100-200
University of Paris-Sud,France,242,181,41,2.1764839,48.6976847,154.66666666666666,FR,Western Europe,Europe,0.006465517241379311,155,100-200
University of Rochester,USA,186,153,125.5,-77.6260033,43.1305531,154.83333333333334,US,North America,Americas,0.006458557588805166,155,100-200
University of Bonn,Germany,239,100,125.5,7.0865227,50.7267715,154.83333333333334,DE,Western Europe,Europe,0.006458557588805166,155,100-200
Sungkyunkwan University,Republic of Korea,108,111,250.5,126.993606,37.588227,156.5,KR,East Asia,Asia,0.006389776357827476,156,100-200
RWTH Aachen University,Germany,141,79,250.5,6.0656869,50.7800778,156.83333333333334,DE,Western Europe,Europe,0.006376195536663124,157,100-200
University of Lausanne,Switzerland,146,152,175.5,6.5801606,46.5210895,157.83333333333334,CH,Western Europe,Europe,0.006335797254487856,158,100-200
University of Liverpool,UK,173,177,125.5,-2.9655722,53.405936,158.5,GB,Northern Europe,Europe,0.006309148264984227,158,100-200
Technion – Israel Institute of Technology,Israel,224,-,93,35.0231271,32.7767783,158.5,IL,Middle East,Asia,0.006309148264984227,158,100-200
Texas A&M University,USA,195,159,125.5,-96.336499,30.618531,159.83333333333334,US,North America,Americas,0.006256517205422314,160,100-200
University of Bath,UK,160,-,-,-2.3272635,51.3781162,160,GB,Northern Europe,Europe,0.00625,160,100-200
National Tsing Hua University,"Taiwan, Province of China",161,-,-,120.9932316,24.7947253,161,TW,East Asia,Asia,0.006211180124223602,161,100-200
University of Buenos Aires,Argentina,75,-,250.5,-58.3730695,-34.5998875,162.75,AR,South America,Americas,0.006144393241167435,163,100-200
University of Arizona,USA,230,161,99,-110.9501094,32.2318851,163.33333333333334,US,North America,Americas,0.006122448979591836,163,100-200
Karlsruhe Institute of Technology,Germany,107,133,250.5,8.4170303,49.0119199,163.5,DE,Western Europe,Europe,0.0061162079510703364,164,100-200
University of Vienna,Austria,154,165,175.5,16.3600504,48.2131855,164.83333333333334,AT,Western Europe,Europe,0.006066734074823053,165,100-200
Case Western Reserve University,USA,213,158,125.5,-81.6083838,41.5043413,165.5,US,North America,Americas,0.006042296072507553,166,100-200
Arizona State University,USA,209,126,-,-111.9280527,33.4242399,167.5,US,North America,Americas,0.005970149253731343,168,100-200
Dartmouth College,USA,169,89,250.5,-72.2886935,43.7044406,169.5,US,North America,Americas,0.0058997050147492625,170,100-200
Vrije Universiteit,Netherlands,218,165,125.5,4.8657199,52.3337568,169.5,NL,Western Europe,Europe,0.0058997050147492625,170,100-200
Korea University,Republic of Korea,90,-,250.5,127.0277773,37.590799,170.25,KR,East Asia,Asia,0.005873715124816446,170,100-200
Indian Institute of Technology Delhi,India,172,-,-,77.1926284,28.5449756,172,IN,South Asia,Asia,0.005813953488372093,172,100-200
King Saud University,Saudi Arabia,221,-,125.5,46.6191078,24.716241,173.25,SA,Middle East,Asia,0.005772005772005772,173,100-200
Scuola Superiore Sant'Anna Pisa di Studi Universitari e di Perfezionamento,Italy,192,155,-,10.4027859,43.7209661,173.5,IT,Southern Europe,Europe,0.005763688760806916,174,100-200
Royal Institute of Technology,Sweden,98,173,250.5,18.0706646,59.3498065,173.83333333333334,SE,Northern Europe,Europe,0.005752636625119846,174,100-200
University of York,UK,135,137,250.5,-1.0561667,53.9455334,174.16666666666666,GB,Northern Europe,Europe,0.005741626794258373,174,100-200
University of Auckland,New Zealand,82,192,250.5,174.7691073,-36.8523378,174.83333333333334,NZ,Australia and New Zealand,Oceania,0.005719733079122974,175,100-200
TU Dresden,Germany,195,155,175.5,13.7289964,51.0292734,175.16666666666666,DE,Western Europe,Europe,0.005708848715509039,175,100-200
University of Bordeaux,France,-,-,175.5,-0.5935827,44.8086048,175.5,FR,Western Europe,Europe,0.005698005698005698,176,100-200
University of Nebraska–Lincoln,USA,-,-,175.5,-96.7004763,40.8201966,175.5,US,North America,Americas,0.005698005698005698,176,100-200
China Medical University (Taichung),China,-,-,175.5,120.6801328,24.1562767,175.5,CN,East Asia,Asia,0.005698005698005698,176,100-200
Sichuan University,China,-,-,175.5,104.070295,30.63785,175.5,CN,East Asia,Asia,0.005698005698005698,176,100-200
Leipzig University,Germany,-,-,175.5,12.3784615,51.3385738,175.5,DE,Western Europe,Europe,0.005698005698005698,176,100-200
University of Massachusetts Medical School - Worcester,USA,-,-,175.5,-71.7610714,42.2772479,175.5,US,North America,Americas,0.005698005698005698,176,100-200
Hong Kong Polytechnic University,Hong Kong,95,182,250.5,114.1784191,22.3028474,175.83333333333334,HK,East Asia,Asia,0.005687203791469194,176,100-200
CentraleSupélec,France,177,-,-,2.1639495,48.7088206,177,FR,Western Europe,Europe,0.005649717514124294,177,100-200
Nanjing University,China,114,169,250.5,118.7789602,32.0568391,177.83333333333334,CN,East Asia,Asia,0.005623242736644799,178,100-200
Rutgers University - New Brunswick,USA,283,172,79,-74.4473991,40.5008186,178,US,North America,Americas,0.0056179775280898875,178,100-200
Yonsei University,Republic of Korea,106,-,250.5,126.938572,37.565784,178.25,KR,East Asia,Asia,0.005610098176718092,178,100-200
Indian Institute of Technology Bombay,India,179,-,-,72.9132679,19.1334302,179,IN,South Asia,Asia,0.00558659217877095,179,100-200
University of Luxembourg,Luxembourg,-,179,-,5.948386,49.504254,179,LU,Western Europe,Europe,0.00558659217877095,179,100-200
Indiana University Bloomington,USA,304,117,125.5,-86.5129458,39.1745704,182.16666666666666,US,North America,Americas,0.0054894784995425435,182,100-200
Maastricht University,Netherlands,200,103,250.5,5.6867065,50.8471373,184.5,NL,Western Europe,Europe,0.005420054200542005,184,100-200
Université libre de Bruxelles,Belgium,205,175,175.5,4.3822222,50.8132068,185.16666666666666,BE,Western Europe,Europe,0.0054005400540054005,185,100-200
Pohang University of Science and Technology,Republic of Korea,71,137,350.5,129.3231836,36.0138857,186.16666666666666,KR,East Asia,Asia,0.005371530886302597,186,100-200
National Autonomous University of Mexico,Mexico,122,-,250.5,-99.1843676,19.3188895,186.25,MX,Central America,Americas,0.005369127516778523,186,100-200
"University of California, Santa Cruz",USA,301,162,98,-122.0582972,36.9914738,187,US,North America,Americas,0.0053475935828877,187,100-200
Scuola Normale Superiore di Pisa,Italy,192,184,-,10.40033,43.719601,188,IT,Southern Europe,Europe,0.005319148936170213,188,100-200
Kyushu University,Japan,128,-,250.5,130.4250445,33.6266584,189.25,JP,East Asia,Asia,0.005284015852047556,189,100-200
Tel Aviv University,Israel,205,-,175.5,34.8043877,32.1133141,190.25,IL,Middle East,Asia,0.005256241787122208,190,100-200
University of Massachusetts Lowell,USA,-,191,-,-71.3240468,42.6500568,191,US,North America,Americas,0.005235602094240838,191,100-200
Chalmers University of Technology,Sweden,133,-,250.5,11.9781232,57.6888144,191.75,SE,Northern Europe,Europe,0.005215123859191656,192,100-200
Norwegian University of Science and Technology,Norway,259,-,125.5,10.4020771,63.419499,192.25,NO,Northern Europe,Europe,0.005201560468140442,192,100-200
University of St Andrews,UK,92,143,350.5,-2.7927522,56.3416934,195.16666666666666,GB,Northern Europe,Europe,0.005123825789923143,195,100-200
Sapienza University of Rome,Italy,215,-,175.5,12.5144384,41.9037626,195.25,IT,Southern Europe,Europe,0.005121638924455826,195,100-200
University of Newcastle,UK,161,175,250.5,-1.6146608,54.9791871,195.5,GB,Northern Europe,Europe,0.005115089514066497,196,100-200
Tufts University,USA,243,169,175.5,-71.1190232,42.4074843,195.83333333333334,US,North America,Americas,0.005106382978723404,196,100-200
University of Calgary,Canada,217,-,175.5,-114.1358007,51.0781599,196.25,CA,North America,Americas,0.005095541401273885,196,100-200
King Abdulaziz University,Saudi Arabia,267,-,125.5,39.2575481,21.5016038,196.25,SA,Middle East,Asia,0.005095541401273885,196,100-200
